gvkey,iid,datadate,tic,prccd,return,dollar
108132,1,20160104,SPY,201.0192,1,10000
108132,1,20160105,SPY,201.36,1.00169536,10016.9536
108132,1,20160106,SPY,198.82,0.9890597515,9890.597515
108132,1,20160107,SPY,194.05,0.9653306749,9653.306749
108132,1,20160108,SPY,191.923,0.9547495961,9547.495961
108132,1,20160111,SPY,192.11,0.9556798555,9556.798555
108132,1,20160112,SPY,193.6608,0.9633945414,9633.945414
108132,1,20160113,SPY,188.83,0.9393630061,9393.630061
108132,1,20160114,SPY,191.93,0.9547844186,9547.844186
108132,1,20160115,SPY,187.81,0.9342888639,9342.888639
108132,1,20160119,SPY,188.06,0.9355325262,9355.325262
108132,1,20160120,SPY,185.65,0.9235436217,9235.436217
108132,1,20160121,SPY,186.69,0.9287172569,9287.172569
108132,1,20160122,SPY,190.52,0.9477701632,9477.701632
108132,1,20160125,SPY,187.64,0.9334431736,9334.431736
108132,1,20160126,SPY,190.2,0.9461782755,9461.782755
108132,1,20160127,SPY,188.13,0.9358807517,9358.807517
108132,1,20160128,SPY,189.11,0.9407559079,9407.559079
108132,1,20160129,SPY,193.7208,0.9636930204,9636.930204
108132,1,20160201,SPY,193.65,0.9633408152,9633.408152
108132,1,20160202,SPY,190.16,0.9459792895,9459.792895
108132,1,20160203,SPY,191.3,0.9516503896,9516.503896
108132,1,20160204,SPY,191.6,0.9531427844,9531.427844
108132,1,20160205,SPY,187.95,0.9349853148,9349.853148
108132,1,20160208,SPY,185.42,0.9223994524,9223.994524
108132,1,20160209,SPY,185.43,0.9224491989,9224.491989
108132,1,20160210,SPY,185.27,0.921653255,9216.53255
108132,1,20160211,SPY,182.86,0.9096643505,9096.643505
108132,1,20160212,SPY,186.63,0.9284187779,9284.187779
108132,1,20160216,SPY,189.78,0.9440889228,9440.889228
108132,1,20160217,SPY,192.88,0.9595103353,9595.103353
108132,1,20160218,SPY,192.09,0.9555803625,9555.803625
108132,1,20160219,SPY,192,0.955132644,9551.32644
108132,1,20160222,SPY,194.78,0.9689621688,9689.621688
